Iteration 1, Training loss 2.3011, Training error 0.9219, Validation Error 0.9024
Iteration 2, Training loss 2.3003, Training error 0.7969, Validation Error 0.8874
Iteration 3, Training loss 2.3024, Training error 0.8438, Validation Error 0.8874
Iteration 4, Training loss 2.3006, Training error 0.8750, Validation Error 0.8874
Iteration 5, Training loss 2.3032, Training error 0.8906, Validation Error 0.8874
Iteration 6, Training loss 2.3023, Training error 0.8906, Validation Error 0.8874
Iteration 7, Training loss 2.2995, Training error 0.9219, Validation Error 0.8874
Iteration 8, Training loss 2.3002, Training error 0.8750, Validation Error 0.8874
Iteration 9, Training loss 2.3042, Training error 0.9375, Validation Error 0.8874
Iteration 10, Training loss 2.3027, Training error 0.8438, Validation Error 0.8874
Iteration 11, Training loss 2.2971, Training error 0.8438, Validation Error 0.8874
Iteration 12, Training loss 2.3075, Training error 0.9219, Validation Error 0.8874
Iteration 13, Training loss 2.2992, Training error 0.9062, Validation Error 0.8874
Iteration 14, Training loss 2.3027, Training error 0.8750, Validation Error 0.8874
Iteration 15, Training loss 2.3007, Training error 0.8750, Validation Error 0.8874
Iteration 16, Training loss 2.3038, Training error 0.9219, Validation Error 0.8874
Iteration 17, Training loss 2.2974, Training error 0.9062, Validation Error 0.8874
Iteration 18, Training loss 2.2988, Training error 0.8750, Validation Error 0.8874
Iteration 19, Training loss 2.3036, Training error 0.8906, Validation Error 0.8874
Iteration 20, Training loss 2.3055, Training error 0.9219, Validation Error 0.8874
